INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
Lakeland Community College,Kirtland,OH,44094-5198,North Central Association of Colleges and Schools The Higher Learning Commission,41.638462,-81.364545,5119
O C Collins Career Center,Chesapeake,OH,45619-0000,Council on Occupational Education,38.491898,-82.473516,501
James A Rhodes State College,Lima,OH,45804,North Central Association of Colleges and Schools The Higher Learning Commission,40.738347,-84.026319,2400
Ohio Business College-Sheffield,Sheffield Village,OH,44035-0701,Accrediting Council for Independent Colleges and Schools,41.418467,-82.133835,392
Ohio Business College-Sandusky,Sandusky,OH,44870-5871,Accrediting Council for Independent Colleges and Schools,41.414861,-82.666407,244
Lorain County Community College,Elyria,OH,44035-1691,North Central Association of Colleges and Schools The Higher Learning Commission,41.412448,-82.07242,8827
Lourdes University,Sylvania,OH,43560-2898,North Central Association of Colleges and Schools The Higher Learning Commission,41.708694,-83.706649,1171
Malone University,Canton,OH,44709-3308,North Central Association of Colleges and Schools The Higher Learning Commission,40.826516,-81.383525,1293
Marietta College,Marietta,OH,45750,North Central Association of Colleges and Schools The Higher Learning Commission,39.417638,-81.450038,1215
Marion Technical College,Marion,OH,43302-5694,North Central Association of Colleges and Schools The Higher Learning Commission,40.579256,-83.090763,1679
Medina County Career Center,Medina,OH,44256,Council on Occupational Education,41.155104,-81.901592,70
Mercy College of Ohio,Toledo,OH,43604-1132,North Central Association of Colleges and Schools The Higher Learning Commission,41.657936,-83.5526,1239
Methodist Theological School in Ohio,Delaware,OH,43015-3211,Commission on Accrediting of the Association of Theological Schools,40.253643,-83.060146,NULL
Miami University-Hamilton,Hamilton,OH,45011,North Central Association of Colleges and Schools The Higher Learning Commission,39.377448,-84.563221,2834
Miami University-Middletown,Middletown,OH,45042,North Central Association of Colleges and Schools The Higher Learning Commission,39.523776,-84.35724,1489
Miami University-Oxford,Oxford,OH,45056,North Central Association of Colleges and Schools The Higher Learning Commission,39.509642,-84.731821,15975
Miami-Jacobs Career College-Dayton,Dayton,OH,45402,Accrediting Council for Independent Colleges and Schools,39.760506,-84.185929,90
Moler Hollywood Beauty Academy,Cincinnati,OH,45213,National Accrediting Commission of Career Arts and Sciences,39.102391,-84.512718,89
Miami Valley Career Technology Center,Englewood,OH,45315,Council on Occupational Education,39.845399,-84.330305,345
Mount Carmel College of Nursing,Columbus,OH,43222-1504,North Central Association of Colleges and Schools The Higher Learning Commission,39.957008,-83.021152,897
University of Mount Union,Alliance,OH,44601-3993,North Central Association of Colleges and Schools The Higher Learning Commission,40.905093,-81.108624,2061
Mount Vernon Nazarene University,Mount Vernon,OH,43050-9500,North Central Association of Colleges and Schools The Higher Learning Commission,40.373859,-82.474667,1686
Mount Saint Joseph University,Cincinnati,OH,45233-1670,North Central Association of Colleges and Schools The Higher Learning Commission,39.094519,-84.640143,1387
Zane State College,Zanesville,OH,43701-2626,North Central Association of Colleges and Schools The Higher Learning Commission,39.961387,-82.031769,1890
Muskingum University,New Concord,OH,43762,North Central Association of Colleges and Schools The Higher Learning Commission,39.996635,-81.737192,1580
Brown Mackie College-North Canton,Canton,OH,44718,Accrediting Council for Independent Colleges and Schools,40.844878,-81.429211,323
National Beauty College,Canton,OH,44709-1837,National Accrediting Commission of Career Arts and Sciences,40.849195,-81.392755,52
North Central State College,Mansfield,OH,44901-0698,North Central Association of Colleges and Schools The Higher Learning Commission,40.798777,-82.581582,2009
Northern Institute of Cosmetology,Lorain,OH,44052-1803,National Accrediting Commission of Career Arts and Sciences,41.465377,-82.174264,29
Northwest State Community College,Archbold,OH,43502-9542,North Central Association of Colleges and Schools The Higher Learning Commission,41.452684,-84.30312,1501
Toledo Public Schools Adult and Continuing Education,Toledo,OH,43613,Council on Occupational Education,41.68155,-83.589256,93
Notre Dame College,Cleveland,OH,44121-4293,North Central Association of Colleges and Schools The Higher Learning Commission,41.506938,-81.516212,1753
Northeast Ohio Medical University,Rootstown,OH,44272-0095,North Central Association of Colleges and Schools The Higher Learning Commission,41.102919,-81.245302,NULL
University of Northwestern Ohio,Lima,OH,45805,North Central Association of Colleges and Schools The Higher Learning Commission,40.76005,-84.150423,3897
Oberlin College,Oberlin,OH,44074,North Central Association of Colleges and Schools The Higher Learning Commission,41.29474,-82.221786,2912
Ohio College of Massotherapy Inc,Akron,OH,44321,NULL,41.130464,-81.6569,63
Ohio Technical College,Cleveland,OH,44103,Accrediting Commission of Career Schools and Colleges,41.518805,-81.657374,1072
Ohio Dominican University,Columbus,OH,43219,North Central Association of Colleges and Schools The Higher Learning Commission,39.99265,-82.940499,1213
Brightwood College-Dayton,Dayton,OH,45439,Accrediting Council for Independent Colleges and Schools,39.70638,-84.205625,326
Ohio Northern University,Ada,OH,45810-1599,North Central Association of Colleges and Schools The Higher Learning Commission,40.766144,-83.830729,2116
Ohio State University Agricultural Technical Institute,Wooster,OH,44691-4000,North Central Association of Colleges and Schools The Higher Learning Commission,40.775287,-81.9225,722
Ohio State University-Lima Campus,Lima,OH,45804,North Central Association of Colleges and Schools The Higher Learning Commission,40.737828,-84.026195,928
Ohio State University-Mansfield Campus,Mansfield,OH,44906,North Central Association of Colleges and Schools The Higher Learning Commission,40.797259,-82.578673,1115
Ohio State University-Marion Campus,Marion,OH,43302-5695,North Central Association of Colleges and Schools The Higher Learning Commission,40.579444,-83.085889,1016
Ohio State University-Newark Campus,Newark,OH,43055,North Central Association of Colleges and Schools The Higher Learning Commission,40.068353,-82.447992,2362
Ohio State Beauty Academy,Lima,OH,45807,National Accrediting Commission of Career Arts and Sciences,40.76138,-84.164971,127
Ohio State College of Barber Styling,Columbus,OH,43213,Accrediting Commission of Career Schools and Colleges,39.976108,-82.877566,230
The Spa School,Columbus,OH,43214,National Accrediting Commission of Career Arts and Sciences,40.065384,-83.018667,125
Ohio State School of Cosmetology-Canal Winchester,CANAL WINCHESTER,OH,43110,National Accrediting Commission of Career Arts and Sciences,39.856508,-82.828228,156
Ohio State University-Main Campus,Columbus,OH,43210,North Central Association of Colleges and Schools The Higher Learning Commission,39.998389,-83.009001,44131
Ohio University-Eastern Campus,Saint Clairsville,OH,43950,North Central Association of Colleges and Schools The Higher Learning Commission,40.080475,-80.962601,1078
Ohio University-Chillicothe Campus,Chillicothe,OH,45601-0629,North Central Association of Colleges and Schools The Higher Learning Commission,39.328076,-83.00499,2121
Ohio University-Southern Campus,Ironton,OH,45638,North Central Association of Colleges and Schools The Higher Learning Commission,38.525115,-82.666894,1870
Ohio University-Lancaster Campus,Lancaster,OH,43130-1037,North Central Association of Colleges and Schools The Higher Learning Commission,39.738752,-82.586069,2265
Ohio University-Main Campus,Athens,OH,45701-2979,North Central Association of Colleges and Schools The Higher Learning Commission,39.326799,-82.101064,23335
Ohio University-Zanesville Campus,Zanesville,OH,43701,North Central Association of Colleges and Schools The Higher Learning Commission,39.96098,-82.031063,1919
Ohio Valley College of Technology,East Liverpool,OH,43920-9585,Accrediting Council for Independent Colleges and Schools,40.67908,-80.570841,173
Trinity Health System School of Nursing,Steubenville,OH,43952,NULL,40.355039,-80.625312,72
Ohio Wesleyan University,Delaware,OH,43015-2370,North Central Association of Colleges and Schools The Higher Learning Commission,40.296912,-83.067912,1665
Otterbein University,Westerville,OH,43081,North Central Association of Colleges and Schools The Higher Learning Commission,40.12534,-82.936231,2235
Owens Community College,Perrysburg,OH,43551,North Central Association of Colleges and Schools The Higher Learning Commission,41.588272,-83.536023,7655
Paramount Beauty Academy,Portsmouth,OH,45662-4527,National Accrediting Commission of Career Arts and Sciences,38.739039,-82.979351,66
Cuyahoga Valley Career Center,Brecksville,OH,44141-1296,NULL,41.344555,-81.625375,120
Payne Theological Seminary,Wilberforce,OH,45384,Commission on Accrediting of the Association of Theological Schools,39.715286,-83.884871,NULL
Pontifical College Josephinum,Columbus,OH,43235-1499,North Central Association of Colleges and Schools The Higher Learning Commission,40.119967,-83.01899,111
Professional Skills Institute,Maumee,OH,43537,Accrediting Bureau of Health Education Schools,41.58402,-83.672151,289
Firelands Regional Medical Center School of Nursing,Sandusky,OH,44870-4788,Accreditation Commission for Education in Nursing,41.43719,-82.71189,90
Rabbinical College Telshe,Wickliffe,OH,44092,Association of Advanced Rabbinical and Talmudic Schools,41.593433,-81.48439,38
Raphael's School of Beauty Culture Inc-Niles,Niles,OH,44446,National Accrediting Commission of Career Arts and Sciences,41.199957,-80.732558,127
Fortis College-Centerville,Centerville,OH,45459-2712,Accrediting Commission of Career Schools and Colleges,39.644364,-84.146046,1006
University of Rio Grande,Rio Grande,OH,45674,North Central Association of Colleges and Schools The Higher Learning Commission,38.88058,-82.377359,1169
Advertising Art Educational Services DBA School of Advertising Art,Kettering,OH,45440,Accrediting Commission of Career Schools and Colleges,39.680848,-84.134435,172
Shawnee State University,Portsmouth,OH,45662,North Central Association of Colleges and Schools The Higher Learning Commission,38.730909,-82.995357,3446
Sinclair Community College,Dayton,OH,45402-1460,North Central Association of Colleges and Schools The Higher Learning Commission,39.757598,-84.200628,16282
Gallipolis Career College,Gallipolis,OH,45631-2600,Accrediting Council for Independent Colleges and Schools,38.843023,-82.256842,83
Daymar College-New Boston,New Boston,OH,45662-4900,NULL,38.751229,-82.937763,26
Daymar College-Jackson,Jackson,OH,45640,NULL,39.034848,-82.626544,14
Daymar College-Columbus,Columbus,OH,43232,Accrediting Council for Independent Colleges and Schools,39.749383,-82.652356,47
Daymar College-Chillicothe,Chillicothe,OH,456011038,Accrediting Council for Independent Colleges and Schools,39.362601,-83.0027,47
Brown Mackie College-Cincinnati,Cincinnati,OH,45215-1107,Accrediting Council for Independent Colleges and Schools,39.255963,-84.45701,596
Brown Mackie College-Akron,Akron,OH,44320,Accrediting Council for Independent Colleges and Schools,41.096846,-81.590449,302
Stark State College,North Canton,OH,44720,North Central Association of Colleges and Schools The Higher Learning Commission,40.869332,-81.437798,8961
Stautzenberger College-Maumee,Maumee,OH,43537-4007,Accrediting Council for Independent Colleges and Schools,41.58344,-83.68506,650
